"","X","tripName","vesselName","timestampPosition","speedOverGround","courseOverGround","longitude","latitude","timestampVoyage","destination","timestampEta","typeOfShipId","length","width","draught","dimA","dim","dimC","dimD","distanceAchieved","waterLocksPassed"
"1",0,"trip_134","vessel_50","2019-01-21 20:10:33",9.2,242,8.43813833333333,50.0131683333333,"2019-01-18 09:21:13","STOCKSTADT","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,7.03439794447327,1
"2",1,"trip_134","vessel_50","2019-01-21 20:20:51",9.2,257,8.40681,49.9966833333333,"2019-01-18 09:21:13","STOCKSTADT","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,9.06641221999908,1
"3",2,"trip_134","vessel_50","2019-01-21 20:32:52",7.6,255.1,8.36121666666667,50.001775,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,11.2328448005215,1
"4",3,"trip_134","vessel_50","2019-01-21 20:56:15",1,273.1,8.34261333333333,49.9987066666667,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,12.115900223244,1
"5",4,"trip_134","vessel_50","2019-01-21 21:06:16",0.5,NA,8.33649666666667,49.9991633333333,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,12.3848282390358,1
"6",5,"trip_134","vessel_50","2019-01-21 21:16:35",0,NA,8.336475,49.9991633333333,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,12.3840864027443,1
"7",6,"trip_134","vessel_50","2019-01-21 21:38:07",5.7,228.3,8.308615,49.99901,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,13.7547990575983,2
"8",7,"trip_134","vessel_50","2019-01-21 21:48:17",9.4,323.7,8.283715,50.0003716666667,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,15.2015060780714,2
"9",8,"trip_134","vessel_50","2019-01-21 22:08:36",9.5,280.8,8.22412,50.0371116666667,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,18.9948270268924,2
"10",9,"trip_134","vessel_50","2019-01-21 22:18:36",9.5,255.9,8.18279,50.0361116666667,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,20.8501513114114,2
"11",10,"trip_134","vessel_50","2019-01-21 22:38:46",9.7,254.9,8.102255,50.0189066666667,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,24.5444623764544,2
"12",11,"trip_134","vessel_50","2019-01-21 22:49:06",9.8,263.8,8.06057666666667,50.01134,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,26.4329404273938,2
"13",12,"trip_134","vessel_50","2019-01-21 23:00:06",9.8,227,8.02127333333333,49.9962616666667,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,28.6361397739077,2
"14",13,"trip_134","vessel_50","2019-01-21 23:20:37",9.6,248.5,7.94180833333333,49.9726466666667,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,32.6086889987796,2
"15",14,"trip_134","vessel_50","2019-01-21 23:30:57",9.9,274.1,7.89922666666667,49.9722716666667,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,34.392918569678,2
"16",15,"trip_134","vessel_50","2019-01-21 23:47:47",10.6,330.2,7.85682333333333,50.0091733333333,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,38.2026831453704,2
"17",16,"trip_134","vessel_50","2019-01-22 03:42:16",11.6,308.8,7.38024166666667,50.4499383333333,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,90.1204722092746,2
"18",17,"trip_134","vessel_50","2019-01-22 03:53:37",11.5,327.7,7.34233666666667,50.4774566666667,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,92.8760946836487,2
"19",18,"trip_134","vessel_50","2019-01-22 04:03:56",11.5,321.6,7.31129833333333,50.503675,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,95.2325392287866,2
"20",19,"trip_134","vessel_50","2019-01-22 04:24:57",11.8,326.9,7.274035,50.56682,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,99.9610537155313,2
"21",20,"trip_134","vessel_50","2019-01-22 04:35:17",11.3,286.9,7.23089166666667,50.581275,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,102.369009541127,2
"22",21,"trip_134","vessel_50","2019-01-22 04:45:27",10.8,1.7,7.21410333333333,50.6053916666667,"2019-01-21 20:21:22","MOERDIJK","2019-01-11 07:21:00",89,110,12,1,98,12,4,8,104.691456760601,2
