,tripName,vesselName,timeStart,timeEnd,longitudeStart,longitudeEnd,latitudeStart,latitudeEnd,currentSpeedOverGround,timestampEta,destination,typeOfShipId,length,width,draught,dimA,dim,dimC,dimD
0,trip_0,vessel_0,2019-06-29 15:30:33,2019-06-30 21:50:58,8.530361666666666,4.65343,50.08698333333334,51.81487,6.2,2019-05-27 19:09:00,DORDRECHT,79.0,135.0,12.0,2.4,120.0,15.0,12.0,0.0
1,trip_1,vessel_1,2019-11-24 19:02:53,2019-11-25 20:50:24,8.523685,4.6502050000000015,50.082785,51.81189333333333,0.0,2019-11-21 01:00:00,DEFAM03902TERMC00187,80.0,110.0,11.0,2.0,98.0,12.0,7.0,4.0
2,trip_2,vessel_2,2019-04-02 18:33:23,2019-04-04 04:30:16,8.5233333333333,4.668116666666666,50.083333333332995,51.82090166666666,0.0,2019-11-30 00:00:00,NVT,89.0,105.0,12.0,2.8,95.0,10.0,8.0,4.0
3,trip_3,vessel_3,2019-08-20 07:00:40,2019-08-22 02:51:48,8.527828333333334,4.662675,50.083783333333336,51.81924,1.6,2019-08-19 18:00:00,FRANKFURT,79.0,135.0,12.0,0.2,120.0,15.0,4.0,8.0
4,trip_4,vessel_4,2019-11-09 16:15:42,2019-11-12 10:50:48,8.559253333333332,4.678768333333333,50.098815,51.820298333333334,7.3,2019-11-12 20:00:00,ROTTERDAM,79.0,105.0,10.0,2.5,16.0,89.0,10.0,0.0
5,trip_5,vessel_5,2019-02-11 01:45:14,2019-02-12 05:20:24,8.5233333333333,4.67694,50.081666666667005,51.82128166666666,0.0,2019-02-10 10:00:00,DEFRA03902BRDG100220,80.0,110.0,12.0,2.4,110.0,0.0,12.0,0.0
6,trip_6,vessel_6,2019-03-16 07:50:46,2019-03-17 13:20:37,8.663368333333333,4.662168333333334,50.09915166666666,51.81874166666667,7.0,2019-11-30 00:00:00,,79.0,136.0,12.0,,136.0,0.0,12.0,0.0
7,trip_7,vessel_3,2019-02-16 19:03:41,2019-02-18 06:50:22,8.603161666666667,4.664015,50.08819833333333,51.84744,3.3,2019-02-16 11:00:00,FRANKFURT,79.0,135.0,12.0,0.2,120.0,15.0,4.0,8.0
8,trip_8,vessel_7,2019-04-30 09:25:23,2019-05-01 10:51:27,8.5216666666667,4.65722,50.076666666667,51.814355,8.0,2019-04-29 12:57:00,FRANKFURT OSTHAFEN,80.0,110.0,12.0,,110.0,0.0,5.0,7.0
9,trip_9,vessel_8,2019-08-20 06:30:16,2019-08-22 10:30:24,8.522446666666667,4.678238333333334,50.079633333333334,51.82136333333333,6.6,2019-12-28 16:00:00,ROTTERDAM,70.0,105.0,10.0,2.5,85.0,20.0,2.0,8.0
