,id,latitude,longitude,measuretype
62,FTS49972718333,49.972718333,7.900803333,exact
65,FTS50083051667,50.083051667,7.764246667,exact
66,FTS5010648,50.10648,8.716451667,exact
68,FTS50358843333,50.358843333,7.606618333,exact
70,FTS50614718333,50.614718333,7.21227,exact
71,FTS50937113333,50.937113333,6.965463333,exact
72,FTS51226176667,51.226176667,6.768053333,exact
75,FTS51646538333,51.646538333,6.604373333,exact
78,FTS51827628333,51.827628333,6.243198333,exact
82,FTS51900378333,51.900378333,5.454506667,exact
83,FTS51950926667,51.950926667,5.9512,exact
